my_id,ID,nr-ahr,nr-ar-lbd,nr-aromatase,nr-ar,nr-er-lbd,nr-er,nr-ppar-gamma,sr-are,sr-atad5,sr-hse,sr-mmp,sr-p53,smiles
90573,NCGC00015959-03,1,?,?,0,1,?,?,?,?,?,?,?,C[N+]1=CC2=C(C=CC3=C2OCO3)C4=C1C5=C(C=C4)C=C6OCOC6=C5
29722,NCGC00256156-01,0,?,?,0,?,?,?,?,0,?,?,?,CCCCCCCCCCCC(=O)NCCCN(C)C
156634,NCGC00255704-01,0,?,?,0,?,?,?,?,?,?,1,?,[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1
30396,NCGC00018301-02,0,?,?,0,?,?,0,?,?,?,?,?,CCCCCCCCNC(C)C(O)C1=CC=C(SC(C)C)C=C1
66518,NCGC00181100-01,0,?,?,0,?,0,?,?,?,?,?,?,COC1=CC=C2[C@H]([C@H](C3=CC=CC=C3)C(C)(C)OC2=C1)C4=CC=C(OCCN5CCCC5)C=C4
144895,NCGC00254580-01,0,?,?,0,?,?,?,?,?,1,?,?,O=C1C=CC(=O)N1C2=CC=CC=C2
153464,NCGC00183015-01,0,?,?,0,0,?,?,?,?,?,?,?,OC1=CC=CC(=C1)C2=C3NC(C=C3)=C(C4=NC(C=C4)=C(C5=CC=C(N5)C(=C6CCC2=N6)C7=CC(O)=CC=C7)C8=CC(O)=CC=C8)C9=CC(O)=CC=C9
156630,NCGC00257973-01,0,?,?,0,?,?,?,?,?,?,1,?,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1
157978,NCGC00254691-01,0,?,?,0,?,?,?,?,?,?,1,?,[O-]C(=O)C1=CC=CC=C1.[H][C@](C)(CC)[C@@]2([H])O[C@@]3(C[C@@H]4C[C@@]([H])(C\C=C(C)\[C@@H](O[C@H]5C[C@H](OC)[C@@H](O[C@H]6C[C@H](OC)[C@@H]([NH2+]C)[C@H](C)O6)[C@H](C)O5)[C@@H](C)\C=C\C=C7/CO[C@]8([H])[C@H](O)C(C)=C[C@@]([H])(C(=O)O4)[C@]78O)O3)C=C[C@@H]2C
153296,NCGC00255782-01,0,?,0,0,?,?,?,?,0,?,?,?,OC1=C(Br)C=C2C(OC3=C(C=C(Br)C(O)=C3Br)C24OC(=O)C5=CC=CC=C45)=C1Br
22063,NCGC00255488-01,0,?,?,0,?,?,?,?,?,?,1,?,CC1=C(C=C(C(O)=C1)C(C)(C)C)C(C)(C)C
27675,NCGC00257360-01,0,?,?,0,?,?,?,?,?,?,1,?,CCC1=CC(CC2=C(O)C(=CC(CC)=C2)C(C)(C)C)=C(O)C(=C1)C(C)(C)C
19432,NCGC00258558-01,0,?,?,0,1,?,?,?,?,?,?,?,CC(\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C)=C/C=O
19426,NCGC00258542-01,0,?,?,0,?,?,?,?,?,?,1,?,CC(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(C)=C/C(=O)NC2=CC=C(O)C=C2
29339,NCGC00168261-01,1,?,?,0,?,?,?,?,?,?,1,?,CCCCCC1=CC2=C(C(O)=C1)C3=C(C=CC(C)=C3)C(C)(C)O2
20428,NCGC00257010-01,1,?,?,0,?,1,?,?,?,?,?,?,CC1(C)CNC(NC1)=NN=C(\C=C\C2=CC=C(C=C2)C(F)(F)F)/C=C/C3=CC=C(C=C3)C(F)(F)F
114316,NCGC00254894-01,0,?,?,0,?,?,?,?,0,?,?,?,Cl.CNCCCC12CCC(C3=C1C=CC=C3)C4=C2C=CC=C4
120488,NCGC00255294-01,0,?,?,0,0,?,?,?,?,?,?,?,FC1=CC=C(C=C1)C(CCCN2CCC(CC2)N3C(=O)NC4=C3C=CC=C4)C5=CC=C(F)C=C5
152664,NCGC00259619-01,0,?,1,0,1,?,?,?,?,?,?,?,OC(=O)CC(O)(CC(O)=O)C(O)=O.CC\C(=C(/C1=CC=CC=C1)C2=CC=C(OCCN(C)C)C=C2)C3=CC=CC=C3
156139,NCGC00257401-01,0,?,1,0,?,?,?,1,?,?,?,?,[Br-].CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1
157153,NCGC00182083-02,0,?,0,0,?,?,?,?,0,?,?,?,[H][C@@]12OC\C3=C/C=C/[C@H](C)C\C(C)=C\C[C@]4([H])C[C@@H](C[C@]5(C\C(=N\OC)[C@H](C)[C@H](O5)C(\C)=C\C(C)C)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O
158048,NCGC00256855-01,0,0,?,0,?,?,?,?,?,?,?,?,[O-][N+](=O)C1=CC(=C(Cl)C(=C1Cl)[N+]([O-])=O)C(F)(F)F
90824,NCGC00255514-01,0,?,?,0,?,?,?,?,?,?,1,?,C\C=C\C(=O)OC1=C(C=C(C=C1CCCCCC(C)C)[N+]([O-])=O)[N+]([O-])=O
30189,NCGC00255856-01,0,?,?,0,0,?,?,?,?,?,?,?,CCCCCCCCCCCCN(CCO)CCO
156632,NCGC00258154-01,0,?,1,0,?,?,?,1,?,?,?,?,[Cl-].CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
153306,NCGC00254654-01,1,?,?,0,?,?,?,?,?,?,?,1,OC1=C(C=C(Cl)C=C1)C(=O)NC2=CC=C(C=C2Cl)[N+]([O-])=O
157152,NCGC00254847-01,0,?,?,0,?,?,?,?,?,1,?,?,[H][C@@]12OC\C3=C/C=C/[C@H](C)C\C(C)=C\C[C@]4([H])C[C@@H](C[C@]5(CC[C@H](C)[C@@H](CC)O5)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O
156139,NCGC00259098-01,0,?,1,0,?,?,?,1,?,?,?,?,[Br-].CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1
152487,NCGC00253950-01,0,?,?,0,?,?,?,?,?,1,?,?,OC(=O)C(F)(F)F.COC1=CC(C2=C(CCC3CCCCC3)SC(NC(=O)C4=CC5=CC(C)=CC(C)=C5N4CC(O)=O)=N2)=C(OC)C=C1Cl
120247,NCGC00260206-01,0,?,1,0,?,?,?,1,?,?,?,?,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](C)=C1
156137,NCGC00166120-01,0,?,?,0,0,?,?,?,?,?,1,?,[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)CC
156642,NCGC00255472-01,0,?,?,0,0,?,?,?,?,?,1,?,[Cl-].CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1
115973,NCGC00162178-02,0,?,?,0,0,?,?,?,?,?,1,?,Cl.[H][C@]12CN(CCCCN3C(=O)NC4=C(SC5=C4N=C(C=N5)C6=CC=CC=C6)C3=O)C[C@@]1([H])C7=C(OC)C=CC=C7OC2
88363,NCGC00090782-03,0,0,?,0,?,?,?,?,?,?,1,?,CS(O)(=O)=O.[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC3=CC=CC=C3)NC(=O)C4=C(C)C(O)=CC=C4)[C@@H](C2)C(=O)NC(C)(C)C
153392,NCGC00254471-01,1,?,?,0,1,?,?,?,?,?,1,?,OC1=CC2=C(C=CC=C2)C3=CC=CC=C13
156147,NCGC00091010-01,0,?,?,0,0,?,?,?,?,?,1,?,[Br-].CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1
156634,NCGC00167582-01,0,?,?,0,0,?,?,?,?,?,1,?,[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1
156645,NCGC00254240-01,0,?,?,0,0,?,?,?,0,?,?,?,[Cl-].CCCCCCCCCC[N+](C)(C)CCCCCCCCCC
156620,NCGC00016373-03,0,?,?,0,0,?,0,?,?,?,?,?,[Cl-].CC(C)(C)CC(C)(C)C1=CC=C(OCCOCC[N+](C)(C)CC2=CC=CC=C2)C=C1
157303,NCGC00253967-01,1,?,?,0,?,?,?,1,?,1,?,?,[H][C@]3(COC1=CC=C(C=C1)N2CCN(CC2)C(C)=O)CO[C@@](CN4C=CN=C4)(O3)C5=CC=C(Cl)C=C5Cl
30227,NCGC00166290-02,0,?,?,0,0,?,?,?,0,?,?,?,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
113858,NCGC00160568-01,1,?,?,0,0,?,?,?,?,?,?,?,Cl.CCN(CC)CCOC1=CC=C(C=C1)C2=NC3=CC(Cl)=CC=C3S2
120488,NCGC00015802-08,0,?,0,0,0,?,0,?,?,?,?,?,FC1=CC=C(C=C1)C(CCCN2CCC(CC2)N3C(=O)NC4=C3C=CC=C4)C5=CC=C(F)C=C5
152895,NCGC00015856-08,1,0,?,0,0,?,?,?,?,?,?,?,OC(=O)\C=C/C(O)=O.OC(=O)\C=C/C(O)=O.CN1CCN(CCCN2C3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3)CC1
156139,NCGC00091023-01,0,0,?,0,0,?,?,?,?,?,?,?,[Br-].CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1
156975,NCGC00256908-01,0,?,?,0,0,?,?,?,0,?,?,?,[H][C@@]12CC[C@@](C)(O)[C@H](CC[C@@](C)(O)C=C)[C@@]1(C)CCCC2(C)C
22353,NCGC00259079-01,0,?,?,0,?,?,?,?,?,1,1,?,CC1=CC(=C(O)C(CC2=C(O)C(=CC(C)=C2)C(C)(C)C)=C1)C(C)(C)C
13593,NCGC00254226-01,0,?,?,0,?,?,?,?,0,?,1,?,CC(C)(C1=CC=CC=C1)C2=CC(=C(O)C=C2)C(C)(C)C3=CC=CC=C3
113704,NCGC00166070-01,0,0,?,0,?,0,?,?,?,?,?,?,Cl.CCCCCCCCCCOCC(O)CN
12344,NCGC00095016-01,0,?,0,0,?,?,?,?,0,?,1,?,CC(C)(C)CC(C)(C)C1=CC=C(O)C(CC2=CC=C(Cl)C=C2Cl)=C1
88498,NCGC00016059-05,0,0,?,0,0,?,?,?,?,?,?,?,CSC1=CC2=C(SC3=CC=CC=C3N2CCC4CCCCN4C)C=C1
55070,NCGC00257342-01,0,0,?,0,?,?,?,1,?,?,?,?,CN(C(=O)C(C)(C)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C2=CN=C(C=C2C3=CC=C(F)C=C3C)N4CC[C@@H](O)[C@H]4CO
125366,NCGC00259570-01,1,?,?,?,?,?,?,?,1,?,0,1,NC1=NC(N)=C2N=C(C3=CC=CC=C3)C(N)=NC2=N1
144894,NCGC00255770-01,0,?,?,0,?,?,?,?,?,1,?,1,O=C1C=CC(=O)N1C2=CC=C(CC3=CC=C(C=C3)N4C(=O)C=CC4=O)C=C2
156144,NCGC00255995-01,0,?,?,0,?,?,?,1,0,?,?,?,[Br-].CCCCCCCCCCCC[N+](C)(C)C
156635,NCGC00257543-01,0,?,1,0,0,?,?,1,?,?,?,?,[Cl-].CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1
156628,NCGC00183020-01,0,?,?,0,0,?,?,?,?,?,0,?,[Cl-].CCCCCCCCCCCCCCCCCCNC(=O)OC1CCN(CC1)C(=O)OC[C@H](COC(=O)N(CC2=[N+](CC)C=CC=C2)C(=O)C3=CC=CC=C3OC)OC
22353,NCGC00256347-01,0,?,?,0,?,?,?,?,?,1,1,?,CC1=CC(=C(O)C(CC2=C(O)C(=CC(C)=C2)C(C)(C)C)=C1)C(C)(C)C
61700,NCGC00255136-01,1,?,?,0,0,?,?,?,?,1,?,?,COC(=O)C1=C(C)NC(C)=C(C1C2=CC=CC=C2[N+]([O-])=O)C(=O)OCC(C)C
115868,NCGC00015889-05,0,?,1,0,?,?,?,?,?,?,1,1,Cl.OC1=CC=C(C=C1)C2=C(C(=O)C3=CC=C(OCCN4CCCCC4)C=C3)C5=CC=C(O)C=C5S2
116196,NCGC00167430-01,0,?,1,0,?,?,0,?,0,?,?,?,ClC1=C(COC(CN2C=CN=C2)C3=C(Cl)C=C(Cl)C=C3)C=CS1
157305,NCGC00024379-04,0,?,1,0,0,?,?,?,?,?,?,0,[H][C@]4(C[C@H]1C[C@]2([H])N(CCC3=C2C=C(OC)C(OC)=C3)C[C@@H]1CC)NCCC5=CC(OC)=C(OC)C=C45
120248,NCGC00258148-01,0,0,1,0,?,?,?,?,0,?,?,?,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCCCN1C=C[N+](C)=C1
144537,NCGC00255557-01,1,?,?,0,?,?,?,1,0,?,?,?,O=C1C2=C(SC(C#N)=C(S2)C#N)C(=O)C3=C1C=CC=C3
157175,NCGC00021305-05,0,?,1,0,?,?,?,?,?,?,1,?,[H][C@@]4(C[C@@H](C)[C@]1([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]2([H])CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O1)OC)CC[C@@H](O)[C@@H](C4)OC
153353,NCGC00160648-01,1,0,?,0,?,?,?,?,1,?,?,?,OC1=C(\C=N\NC(=O)C2=CC=NC=C2)C=CC=C1
22111,NCGC00254050-01,0,?,?,0,0,?,1,?,?,?,?,?,CC1=C(CCOC2=CC=C(C[C@H](NC3=C(C=CC=C3)C(=O)C4=CC=CC=C4)C(O)=O)C=C2)N=C(O1)C5=CC=CC=C5
30210,NCGC00257297-01,0,?,?,0,?,?,?,?,0,?,1,?,CCCCCCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1
66365,NCGC00164486-01,0,?,?,0,0,?,?,?,?,?,1,?,COC1=CC(C=C2CCCC(=CC3=CC=C(O)C(OC)=C3)C2=O)=CC=C1O
153464,NCGC00183280-01,1,?,?,0,?,?,0,?,0,?,?,?,OC1=CC=CC(=C1)C2=C3NC(C=C3)=C(C4=NC(C=C4)=C(C5=CC=C(N5)C(=C6CCC2=N6)C7=CC(O)=CC=C7)C8=CC(O)=CC=C8)C9=CC(O)=CC=C9
156739,NCGC00094813-01,1,?,1,0,?,?,?,?,?,?,1,1,[Cl-].NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1.C[N+]4=C5C=C(N)C=CC5=CC6=C4C=C(N)C=C6
36371,NCGC00257038-01,1,?,?,1,?,?,?,?,0,?,?,1,CCN(CC)C1=CC=C2C(C)=CC(=O)OC2=C1
116162,NCGC00254705-01,0,?,?,0,?,?,?,?,?,1,1,?,ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
26338,NCGC00254845-01,0,?,?,0,?,?,?,?,?,1,?,1,CCC(C)(NC(=O)C1=CC(Cl)=C(C)C(Cl)=C1)C(=O)CCl
153338,NCGC00166241-01,0,?,0,0,0,?,?,?,?,?,?,?,OC1=C(I)C=C(C=C1I)[N+]([O-])=O
125289,NCGC00260454-01,1,?,?,0,?,1,?,?,0,?,?,?,NC1=CC=C2C3=CC=CC=C3C4=C2C1=CC=C4
156957,NCGC00016447-01,0,?,?,?,?,?,?,?,?,?,1,0,[H][C@@]12CCC3=C[C@H](CC[C@]3(C)[C@@]1([H])CC[C@]4(C)[C@H](CC[C@]24O)C5=COC(=O)C=C5)O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O
30193,NCGC00254270-01,1,0,?,0,?,?,?,?,0,?,?,?,CCCCCCCCCCCCN1CCCC1=O
153332,NCGC00256573-01,0,?,?,0,?,?,?,?,0,?,1,?,OC1=C(Cl)C=C(Cl)C=C1SC2=C(O)C(Cl)=CC(Cl)=C2
156141,NCGC00255864-01,0,?,1,0,0,?,?,?,?,?,1,?,[Br-].CCCCCCCCCCCCCC[N+]1=CC=CC=C1
157337,NCGC00260180-01,0,?,?,0,?,?,?,?,0,?,1,?,[I-].CCCCCCCCCCCCN1C=C[N+](C)=C1
51871,NCGC00254455-01,0,?,1,0,1,?,?,?,0,?,?,?,CC\C(C1=CC=CC=C1)=C(/C2=CC=CC=C2)C3=CC=C(OCCN(C)C)C=C3
152668,NCGC00255310-01,0,?,1,0,0,?,?,?,0,?,?,?,OC(=O)CC(O)(CC(O)=O)C(O)=O.CN(C)CCOC1=CC=C(C=C1)C(=C(\CCCl)C2=CC=CC=C2)\C3=CC=CC=C3
157095,NCGC00163473-01,0,?,1,?,?,?,?,?,?,?,1,0,[H][C@@]12CC[C@]3(O)C[C@H](C[C@@H](O)[C@]3(CO)[C@@]1([H])[C@H](O)C[C@]4(C)[C@H](CC[C@]24O)C5=CC(=O)OC5)O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O
116333,NCGC00255699-01,0,?,1,0,?,?,?,?,?,1,1,?,ClC1=CC=CC(NN=C(C#N)C#N)=C1
152660,NCGC00255219-01,0,?,1,0,0,?,?,?,0,?,?,?,OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C2=CC=CC=C2)C3=CC=CC=C3
157254,NCGC00181150-01,0,?,0,0,?,?,0,?,?,?,1,?,[H][C@]12C[C@H](OC(C)=O)C(C)(C)[C@](O)(C[C@]3([H])C\C(C[C@@]([H])(O3)\C=C\C(C)(C)[C@]4(O)O[C@@]([H])(C\C(=C/C(=O)OC)[C@@H]4OC(=O)\C=C\C=C\CCC)C[C@@]([H])(OC(=O)C[C@H](O)C1)[C@@H](C)O)=C\C(=O)OC)O2
63037,NCGC00254629-01,0,?,1,0,?,?,?,?,0,?,1,?,COC(=O)N(C(=O)N1CO[C@]2(CC3=C(C=CC(Cl)=C3)C2=N1)C(=O)OC)C4=CC=C(OC(F)(F)F)C=C4
16357,NCGC00258196-01,0,?,1,0,?,0,?,?,?,?,?,?,CC(C)N(C(C)C)C(=O)SCC(Cl)=CCl
156638,NCGC00181085-01,0,?,?,0,0,?,?,?,?,?,1,?,[Cl-].CCCCCCCCCCCCCC[N+]1=CC=C(C)C=C1
114336,NCGC00092386-03,0,0,?,0,0,?,?,?,?,?,?,?,Cl.CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C3=C1C=CC=C3
88362,NCGC00091469-01,0,0,?,0,0,?,?,?,?,?,1,?,CS(O)(=O)=O.[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(N)=O)NC(=O)C4=NC5=C(C=CC=C5)C=C4)[C@@H](C2)C(=O)NC(C)(C)C
16492,NCGC00188346-01,1,?,?,0,0,?,?,?,1,?,0,?,CC(C)N1N=C(C2=CC3=C(N2)C=CC(O)=C3)C4=C1N=CN=C4N
156136,NCGC00164283-01,0,?,?,0,1,1,?,?,?,?,1,?,[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C
157634,NCGC00164568-01,1,?,?,0,0,?,?,?,1,?,1,?,[Na+].CC(C)(O)C1=C(CC[C@@H](SCC2(CC([O-])=O)CC2)C3=CC(\C=C\C4=NC5=CC(Cl)=CC=C5C=C4)=CC=C3)C=CC=C1
88371,NCGC00254253-01,0,?,?,0,?,?,0,?,0,?,0,?,CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C3CCCCC3)C4=CC(Cl)=C(Cl)C=C4)C(=O)C5=CC(=CC(=C5)C(F)(F)F)C(F)(F)F
12215,NCGC00016064-06,0,0,?,0,?,0,?,?,0,?,?,?,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN2CCC(CC2)C(O)(C3=CC=CC=C3)C4=CC=CC=C4
153458,NCGC00181142-01,0,?,?,0,?,?,1,?,1,?,?,1,OC1=CC=C([Hg]Cl)C=C1
18305,NCGC00015817-05,0,?,0,0,?,?,0,?,0,?,?,0,CC(CN1C2=C(SC3=C1C=CC=C3)C=CC=C2)N(C)C
66199,NCGC00160514-01,0,?,?,0,0,?,?,?,?,?,?,1,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
34170,NCGC00254770-01,0,?,1,0,?,?,1,1,0,?,?,?,CCCOC\C(N1C=CN=C1)=N/C2=C(C=C(Cl)C=C2)C(F)(F)F
120493,NCGC00181782-01,0,?,?,0,0,?,?,?,0,?,?,?,FC1=CC=C(C=C1)N2C=C(C3CCN(CCN4CCNC4=O)CC3)C5=C2C=CC(Cl)=C5
22735,NCGC00167488-01,0,?,?,0,0,?,?,?,?,?,1,1,CC1=CC=C(C=C1)S(O)(=O)=O.CNC(=O)C2=CC(OC3=CC=C(NC(=O)NC4=CC=C(Cl)C(=C4)C(F)(F)F)C=C3)=CC=N2
153332,NCGC00018163-06,0,?,?,0,0,?,?,?,?,?,1,1,OC1=C(Cl)C=C(Cl)C=C1SC2=C(O)C(Cl)=CC(Cl)=C2
156140,NCGC00255707-01,0,?,?,0,0,?,?,?,0,?,1,?,[Br-].CCCCCCCCCCCCCC[N+](C)(C)C
156633,NCGC00260104-01,0,?,?,0,0,?,?,?,0,?,1,?,[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)C
128280,NCGC00166405-01,0,?,?,0,0,?,0,?,?,?,1,?,O.O.[Cl-].CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1
157153,NCGC00183118-01,0,1,?,1,?,?,?,?,0,?,1,?,[H][C@@]12OC\C3=C/C=C/[C@H](C)C\C(C)=C\C[C@]4([H])C[C@@H](C[C@]5(C\C(=N\OC)[C@H](C)[C@H](O5)C(\C)=C\C(C)C)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O
157168,NCGC00181099-01,0,0,?,0,0,?,?,?,0,?,?,?,[H][C@@]12[C@H]3OCC14CCCC(C)(C)[C@]4([H])CC[C@]2(C)OC5=C3C(O)=CC(C)=C5
113569,NCGC00094434-01,0,1,0,0,?,?,?,?,1,?,?,?,Cl.CC1=CC=C(C=C1)S(=O)(=O)N[C@@H](CCCCN)C(=O)CCl
116162,NCGC00259258-01,0,?,?,0,?,1,?,?,?,?,1,?,ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
116255,NCGC00181134-01,0,?,?,0,0,?,0,?,0,?,?,?,ClC1=CC(Cl)=C(Cl)C=C1OCC#CI
116304,NCGC00016246-03,0,?,?,0,0,?,0,?,0,?,?,?,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1
120489,NCGC00015424-04,0,0,0,0,0,?,0,?,?,?,?,?,FC1=CC=C(C=C1)C(CCCN2CCC3(CC2)N(CNC3=O)C4=CC=CC=C4)C5=CC=C(F)C=C5
22717,NCGC00259513-01,0,?,?,0,?,?,0,1,0,?,?,?,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(N)(=O)=O)C(F)(F)F
158050,NCGC00259505-01,0,?,?,0,0,?,?,?,1,?,?,1,[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O
16034,NCGC00181022-01,0,?,1,0,?,?,?,?,1,?,0,1,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)B(O)O
158107,NCGC00160655-01,1,?,?,0,0,?,?,?,?,?,1,?,[O-][N+](=O)C1=CN=C(NC(=O)C2=CC=CS2)S1
30388,NCGC00259010-01,0,?,?,0,?,?,?,?,0,1,?,1,CCCCCCCCN1SC=CC1=O
30194,NCGC00255788-01,0,0,?,0,0,0,?,?,?,?,?,?,CCCCCCCCCCCCN1CCCCCC1=O
88340,NCGC00254170-01,0,0,?,0,?,?,?,1,?,?,1,?,CS(O)(=O)=O.CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)\C=C2/SC(=N)NC2=O
154722,NCGC00166245-01,1,?,1,0,?,1,?,?,?,?,1,1,OS(O)(=O)=O.NC1=CC2=NC3=CC(N)=CC=C3C=C2C=C1.NC4=CC5=NC6=CC(N)=CC=C6C=C5C=C4
153419,NCGC00255689-01,0,0,?,0,?,?,?,?,0,?,?,1,OC1=CC=C(C=C1)C2(C3=C(C=CC=C3)C4=C2C=CC=C4)C5=CC=C(O)C=C5
30161,NCGC00256057-01,0,?,?,0,0,0,?,0,?,?,?,?,CCCCCCCCCCCCCCN(CCO)CCO
156136,NCGC00254756-01,0,?,?,0,0,?,?,?,0,?,1,?,[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C
156677,NCGC00167496-01,1,?,1,0,?,?,0,?,?,?,1,1,[Cl-].CN(C)C1=CC2=[S+]C3=C(C=CC(=C3)N(C)C)N=C2C=C1
157654,NCGC00160478-01,1,0,?,0,?,?,?,?,0,?,?,1,[Na+].CC1(CC(=O)C2=C(C=CC=C2)C1=O)S([O-])(=O)=O
90768,NCGC00257343-01,0,?,?,0,0,?,?,?,?,1,1,?,C\C(=C/C1=CC=CC=C1)[N+]([O-])=O
157156,NCGC00181798-01,0,0,?,0,0,?,?,?,?,?,1,?,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@@]4([H])C[C@H](OC)[C@@H](O[C@@]5([H])C[C@H](OC)[C@H](NC(C)=O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]6([H])C[C@@]([H])(C[C@]7(O6)O[C@]([H])(C(C)CC)[C@@H](C)C=C7)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O
